 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2980	MD10_SEM-ECS_2021.03.24_s0:0638-2044:3	10910.662	167.940	8.654	166	149	274	0.785	167	3	1.259	0.794	0.930	196.772	54.809	142.612
2981	MD10_SEM-ECS_2021.03.24_s0:0639-2035:3	2332.205	222.014	11.381	217	196	260	0.786	220	3	1.664	0.601	0.934	237.882	64.308	119.919
2982	MD10_SEM-ECS_2021.03.24_s0:0640-2041:3	5144.370	214.648	12.241	204	187	275	0.818	213	3	1.138	0.879	0.924	239.597	48.769	176.963
2983	MD10_SEM-ECS_2021.03.24_s0:0641-2044:3	6340.893	182.430	28.944	172	148	281	0.670	172	3	1.374	0.728	0.913	198.688	57.833	86.208
2984	MD10_SEM-ECS_2021.03.24_s0:0642-2048:3	8355.377	189.404	12.062	188	164	288	0.862	188	3	1.072	0.933	0.952	217.454	65.676	139.482
2985	MD10_SEM-ECS_2021.03.24_s0:0643-2047:3	4218.248	190.652	16.698	177	168	389	0.725	188	3	1.923	0.520	0.921	239.274	151.840	78.883
2986	MD10_SEM-ECS_2021.03.24_s0:0644-2047:3	6354.413	168.537	6.205	166	154	236	0.741	168	3	1.503	0.666	0.895	186.395	51.791	98.016
2987	MD10_SEM-ECS_2021.03.24_s0:0645-2042:3	2095.604	212.797	24.103	191	175	271	0.783	207	3	1.428	0.700	0.901	225.371	69.112	16.965
2988	MD10_SEM-ECS_2021.03.24_s0:0646-2062:3	5340.411	223.689	57.981	213	173	1570	0.360	217	3	5.490	0.182	0.772	231.114	66.963	110.492
2989	MD10_SEM-ECS_2021.03.24_s0:0647-2047:3	8199.896	217.417	12.970	213	188	291	0.701	215	3	1.844	0.542	0.920	245.000	71.015	219.562
2990	MD10_SEM-ECS_2021.03.24_s0:0648-2050:3	5441.811	202.173	15.633	199	143	275	0.740	202	3	1.542	0.649	0.913	197.466	55.967	67.530
2991	MD10_SEM-ECS_2021.03.24_s0:0649-2054:3	4765.810	195.820	17.637	180	163	275	0.633	192	3	1.756	0.570	0.873	192.173	38.052	111.245
2992	MD10_SEM-ECS_2021.03.24_s0:0650-2063:3	6374.693	182.188	10.373	181	159	266	0.746	181	3	1.585	0.631	0.914	215.660	69.603	69.712
