 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1100	MD14_SEM_Sam31-ECS_2021.03.24_s0:0312-1143:3	8544.657	244.780	36.491	229	192	390	0.657	235	3	2.269	0.441	0.900	292.101	86.423	91.112
1101	MD14_SEM_Sam31-ECS_2021.03.24_s0:0313-1153:3	7267.015	413.456	49.935	397	336	688	0.729	400	3	1.907	0.524	0.938	455.190	126.521	102.338
1102	MD14_SEM_Sam31-ECS_2021.03.24_s0:0314-1160:3	13290.187	247.796	28.428	235	159	476	0.734	244	3	1.479	0.676	0.915	286.848	83.253	112.969
1103	MD14_SEM_Sam31-ECS_2021.03.24_s0:0315-1151:3	14817.950	259.823	37.146	243	158	485	0.634	254	3	1.815	0.551	0.930	271.373	63.763	18.948
1104	MD14_SEM_Sam31-ECS_2021.03.24_s0:0316-1154:3	8003.856	288.867	41.689	253	193	505	0.812	284	3	1.249	0.801	0.930	344.630	102.337	134.062
1105	MD14_SEM_Sam31-ECS_2021.03.24_s0:0317-1161:3	9531.619	377.189	41.529	349	301	558	0.638	368	3	2.403	0.416	0.901	442.146	109.470	88.403
1106	MD14_SEM_Sam31-ECS_2021.03.24_s0:0318-1156:3	11978.744	271.025	55.337	237	203	611	0.624	258	3	2.577	0.388	0.901	399.162	121.607	152.661
1107	MD14_SEM_Sam31-ECS_2021.03.24_s0:0319-1174:3	14020.268	293.136	38.027	279	152	635	0.646	284	3	1.743	0.574	0.865	352.974	149.553	63.844
1108	MD14_SEM_Sam31-ECS_2021.03.24_s0:0320-1161:3	13891.828	279.600	41.978	246	213	465	0.739	271	3	1.506	0.664	0.909	412.924	122.983	58.129
1109	MD14_SEM_Sam31-ECS_2021.03.24_s0:0321-1158:3	11519.063	212.542	35.060	187	165	653	0.623	203	3	1.929	0.518	0.867	253.373	57.460	35.721
1110	MD14_SEM_Sam31-ECS_2021.03.24_s0:0322-1153:3	3751.808	379.906	58.108	351	212	676	0.853	370	3	1.136	0.880	0.953	337.316	91.451	111.463
1111	MD14_SEM_Sam31-ECS_2021.03.24_s0:0323-1167:3	11478.503	250.168	15.641	253	218	416	0.570	249	3	2.938	0.340	0.881	302.149	75.593	61.592
1112	MD14_SEM_Sam31-ECS_2021.03.24_s0:0324-1159:3	6016.412	317.888	47.786	281	234	605	0.760	306	3	1.492	0.670	0.919	382.837	68.504	32.764
1113	MD14_SEM_Sam31-ECS_2021.03.24_s0:0325-1186:3	25735.371	394.011	80.498	431	152	933	0.251	401	3	1.845	0.542	0.474	411.674	146.357	16.619
1114	MD14_SEM_Sam31-ECS_2021.03.24_s0:0326-1155:3	872.042	158.922	18.114	150	147	258	0.746	152	3	2.168	0.461	0.908	252.506	89.584	116.992
1115	MD14_SEM_Sam31-ECS_2021.03.24_s0:0327-1170:3	10552.381	220.536	39.741	203	130	376	0.743	216	3	1.429	0.700	0.930	236.861	50.354	64.398
1116	MD14_SEM_Sam31-ECS_2021.03.24_s0:0328-1163:3	2676.965	336.793	30.033	335	257	488	0.602	337	3	2.682	0.373	0.865	358.380	54.517	12.576
1117	MD14_SEM_Sam31-ECS_2021.03.24_s0:0329-1196:3	14378.549	286.157	27.383	280	227	423	0.493	282	3	3.442	0.291	0.832	327.064	103.100	87.855
1118	MD14_SEM_Sam31-ECS_2021.03.24_s0:0330-1177:3	15237.070	186.626	8.139	187	167	241	0.727	186	3	1.405	0.712	0.913	215.102	52.487	30.381
1119	MD14_SEM_Sam31-ECS_2021.03.24_s0:0331-1175:3	5685.171	354.137	29.352	329	302	569	0.554	349	3	2.031	0.492	0.779	392.636	82.681	69.872
1120	MD14_SEM_Sam31-ECS_2021.03.24_s0:0332-1187:3	17515.195	295.075	22.088	282	205	422	0.841	292	3	1.423	0.703	0.967	342.564	85.305	87.183
